pokemonId,appearedLocalTime,appearedTimeOfDay,appearedHour,appearedMinute,appearedDay,appearedMonth,appearedYear,closeToWater,city,population_density
25,2016-09-08T03:38:45,night,5,38,8,8,2016,FALSE,Denver,1135.3196
1,2016-09-08T03:24:48,night,5,24,8,8,2016,FALSE,New_York,89.69245
1,2016-09-08T03:19:33,night,5,19,8,8,2016,FALSE,Los_Angeles,849.44226
25,2016-09-08T02:54:10,night,4,54,8,8,2016,FALSE,Los_Angeles,1177.243
4,2016-09-08T02:50:45,night,4,50,8,8,2016,FALSE,New_York,396.6662
4,2016-09-08T02:36:44,night,4,36,8,8,2016,FALSE,Los_Angeles,330.89105
1,2016-09-08T02:28:26,night,4,28,8,8,2016,FALSE,Chicago,69.58565
7,2016-09-08T02:25:39,night,4,25,8,8,2016,TRUE,Chicago,1955.8636
7,2016-09-08T02:20:34,night,4,20,8,8,2016,TRUE,New_York,511.28308
25,2016-09-08T02:19:56,night,4,19,8,8,2016,FALSE,New_York,1018.29596
25,2016-09-08T02:17:13,night,4,17,8,8,2016,TRUE,New_York,511.28308
25,2016-09-08T02:07:46,night,4,7,8,8,2016,FALSE,Los_Angeles,5597.982
4,2016-09-08T01:56:04,night,3,56,8,8,2016,FALSE,New_York,1463.3706
1,2016-09-08T01:54:27,night,3,54,8,8,2016,FALSE,Los_Angeles,683.3539
7,2016-09-08T01:50:52,night,3,50,8,8,2016,FALSE,New_York,1018.29596
7,2016-09-08T01:50:37,night,3,50,8,8,2016,FALSE,Phoenix,635.5498
7,2016-09-08T01:42:23,night,3,42,8,8,2016,TRUE,New_York,591.0899
4,2016-09-08T01:36:25,night,3,36,8,8,2016,TRUE,New_York,591.0899
25,2016-09-08T01:35:14,night,3,35,8,8,2016,TRUE,Chicago,0
7,2016-09-08T01:35:03,night,3,35,8,8,2016,FALSE,Chicago,426.5022
1,2016-09-08T01:34:58,night,3,34,8,8,2016,FALSE,New_York,199.16481
1,2016-09-08T01:30:27,night,3,30,8,8,2016,TRUE,Los_Angeles,570.0402
1,2016-09-08T01:23:19,night,3,23,8,8,2016,TRUE,Chicago,0
4,2016-09-08T01:10:10,night,3,10,8,8,2016,FALSE,New_York,1463.3706
1,2016-09-08T01:03:02,night,3,3,8,8,2016,FALSE,Chicago,48.421627
25,2016-09-08T01:02:52,night,3,2,8,8,2016,FALSE,Los_Angeles,1055.8982
4,2016-09-08T01:00:24,night,3,0,8,8,2016,FALSE,Chicago,442.25146
1,2016-09-08T00:50:37,night,2,50,8,8,2016,FALSE,New_York,55.97982
25,2016-09-08T00:49:30,night,2,49,8,8,2016,FALSE,New_York,1463.3706
25,2016-09-08T00:44:26,night,2,44,8,8,2016,FALSE,Phoenix,1411.2576
